index,numbers,holes,horizontal_cuts,vertical_cuts,pixel_count,mass_x,mass_y,longest_contour,contours_count,straightness
0,1,1,1,1,94,13.553191489361701,13.914893617021276,45,1,1.9555555555555555
1,0,2,2,2,239,13.615062761506277,13.602510460251047,59,2,2.0508474576271185
2,1,1,1,1,62,14.516129032258064,13.790322580645162,44,1,0.54545454545454541
3,4,1,2,2,104,14.25,14.60576923076923,85,1,1.8117647058823529
4,0,2,2,2,245,13.693877551020408,13.848979591836734,59,2,1.2203389830508475
5,0,2,2,2,139,13.856115107913668,13.568345323741006,85,1,1.6000000000000001
6,7,1,2,2,112,13.267857142857142,13.214285714285714,74,1,1.5135135135135136
7,3,1,3,4,163,14.582822085889571,13.63803680981595,122,3,2.1065573770491803
8,5,1,2,3,156,13.532051282051283,14.365384615384615,87,1,2.0344827586206895
9,3,1,2,3,172,13.761627906976743,13.825581395348838,81,1,1.7901234567901234
10,8,3,2,3,224,14.741071428571429,13.879464285714286,62,3,1.564516129032258
11,9,2,2,3,149,14.087248322147651,13.751677852348994,58,2,1.9310344827586208
12,1,1,1,1,67,13.940298507462687,13.671641791044776,43,1,1.1395348837209303
13,3,1,2,3,172,14.296511627906977,13.69186046511628,88,1,2.1704545454545454
14,3,1,2,3,192,13.536458333333334,13.916666666666666,102,1,1.892156862745098
15,1,1,1,1,55,14.218181818181819,14.50909090909091,43,1,1.6976744186046511
16,2,1,2,2,205,14.614634146341464,13.751219512195123,78,1,2.0384615384615383
17,0,2,2,2,180,14.266666666666667,14.094444444444445,53,2,1.3773584905660377
18,7,1,2,2,84,13.773809523809524,13.797619047619047,60,1,2.4166666666666665
19,5,3,3,3,227,13.6431718061674,14.348017621145374,81,3,1.691358024691358
20,8,3,2,4,152,13.776315789473685,14.105263157894736,56,5,0.25
21,6,2,3,3,168,13.696428571428571,13.898809523809524,85,2,2.6705882352941175
22,2,1,2,3,156,13.807692307692308,13.615384615384615,81,1,2.2839506172839505
23,0,3,3,3,239,13.849372384937238,14.288702928870293,61,3,1.8524590163934427
24,2,1,2,3,155,14.212903225806452,13.696774193548388,82,1,1.7682926829268293
25,3,1,2,3,152,14.039473684210526,14.493421052631579,94,1,1.6808510638297873
26,6,1,2,2,136,13.389705882352942,14.25,58,1,1.9310344827586208
27,9,2,2,3,122,13.704918032786885,13.598360655737705,53,2,2.1132075471698113
28,9,3,2,3,149,14.100671140939598,14.308724832214764,51,2,2.1960784313725492
29,7,1,2,2,131,13.83206106870229,14.045801526717558,72,1,1.6666666666666667
30,8,3,2,3,147,14.0,14.122448979591837,58,3,1.5344827586206897
31,9,2,2,2,110,14.254545454545454,14.10909090909091,54,2,1.4814814814814814
32,4,1,2,2,158,13.639240506329115,14.316455696202532,79,1,2.2278481012658227
33,9,2,2,3,150,13.926666666666666,14.2,50,2,1.6200000000000001
34,2,2,2,3,145,14.337931034482759,14.344827586206897,63,2,1.6507936507936507
35,1,1,1,2,72,14.222222222222221,13.791666666666666,46,1,1.2391304347826086
36,3,1,2,3,140,14.728571428571428,13.821428571428571,82,1,2.0487804878048781
37,1,1,2,2,76,13.381578947368421,13.578947368421053,46,1,1.5652173913043479
38,1,1,1,1,73,14.164383561643836,13.67123287671233,44,1,2.0
39,4,1,3,3,124,13.387096774193548,14.193548387096774,74,2,2.7162162162162162
40,9,2,2,3,126,13.80952380952381,13.817460317460318,66,2,1.8333333333333333
41,1,1,1,1,81,13.790123456790123,13.950617283950617,45,1,0.88888888888888884
42,4,1,2,2,148,14.45945945945946,13.993243243243244,81,1,2.1604938271604937
43,4,2,3,3,171,14.011695906432749,13.690058479532164,71,2,2.267605633802817
44,2,1,1,2,132,13.931818181818182,14.166666666666666,64,1,1.140625
45,6,2,2,3,140,13.314285714285715,13.628571428571428,59,2,1.6271186440677967
46,3,1,2,4,120,14.566666666666666,13.983333333333333,87,2,1.8045977011494252
47,7,1,2,2,114,14.578947368421053,13.640350877192983,64,1,1.671875
48,7,1,2,2,103,14.271844660194175,14.427184466019417,69,1,2.2173913043478262
49,4,1,3,3,166,14.08433734939759,14.403614457831326,84,1,2.0
50,7,1,2,2,78,13.192307692307692,14.294871794871796,64,1,1.125
51,5,2,2,3,206,13.70873786407767,14.349514563106796,82,2,1.7682926829268293
52,1,1,1,2,72,13.625,14.319444444444445,45,1,1.2444444444444445
53,9,2,2,2,145,13.979310344827587,14.006896551724138,57,2,1.1052631578947369
54,0,2,2,2,203,14.339901477832512,14.31527093596059,56,2,1.5892857142857142
55,2,1,2,2,85,14.48235294117647,14.870588235294118,68,1,1.8823529411764706
56,2,1,2,3,131,13.580152671755725,13.84732824427481,78,1,1.5384615384615385
57,3,1,2,3,167,13.868263473053892,13.802395209580839,87,1,1.5632183908045978
58,9,2,2,3,129,14.395348837209303,13.744186046511627,52,2,2.0192307692307692
59,1,1,1,2,67,14.656716417910447,13.656716417910447,44,1,2.0
60,1,1,1,2,102,14.303921568627452,14.323529411764707,56,1,1.4285714285714286
61,1,1,2,2,98,13.979591836734693,13.877551020408163,50,1,3.04
62,5,1,3,3,172,13.761627906976743,14.11046511627907,59,3,1.847457627118644
63,0,2,3,2,181,13.524861878453038,14.469613259668508,53,2,1.0754716981132075
64,6,2,2,3,164,13.896341463414634,14.402439024390244,62,2,2.064516129032258
65,3,1,2,3,122,13.524590163934427,13.729508196721312,72,1,1.8888888888888888
66,4,1,2,2,143,13.937062937062937,13.867132867132867,68,1,2.2205882352941178
67,8,3,2,3,211,14.265402843601896,13.459715639810426,59,3,1.7796610169491525
68,1,1,1,1,80,13.65,13.6625,44,1,2.1590909090909092
69,0,2,2,2,110,13.872727272727273,14.309090909090909,49,2,1.8163265306122449
70,3,1,2,3,158,13.759493670886076,13.537974683544304,83,1,1.8433734939759037
71,9,2,2,3,92,14.130434782608695,13.619565217391305,66,1,1.696969696969697
72,6,2,3,2,201,13.756218905472636,13.398009950248756,74,2,1.6081081081081081
73,2,1,2,2,202,13.455445544554456,14.113861386138614,80,1,1.0
74,6,1,2,2,135,14.148148148148149,14.066666666666666,49,1,1.9795918367346939
75,4,1,2,3,109,13.935779816513762,14.339449541284404,66,1,2.3181818181818183
76,7,1,3,3,145,14.372413793103448,13.73103448275862,55,4,2.0363636363636362
77,1,1,1,1,54,13.88888888888889,13.5,43,1,0.95348837209302328
78,4,1,2,2,122,14.48360655737705,14.270491803278688,70,1,1.6000000000000001
79,1,1,1,1,76,13.723684210526315,14.473684210526315,43,1,1.8604651162790697
80,5,1,2,2,109,14.082568807339449,14.247706422018348,69,1,1.8695652173913044
81,4,1,2,2,159,13.823899371069182,14.50943396226415,75,1,2.3599999999999999
82,8,3,2,3,149,13.557046979865772,14.483221476510067,57,3,1.5263157894736843
83,9,2,2,3,118,13.728813559322035,14.220338983050848,51,2,1.8823529411764706
84,2,2,2,3,109,13.724770642201834,13.79816513761468,65,2,1.8307692307692307
85,9,2,2,2,93,14.075268817204302,13.64516129032258,52,2,1.6923076923076923
86,9,2,2,3,140,14.17142857142857,13.45,58,3,1.8103448275862069
87,8,3,2,4,134,14.23134328358209,13.746268656716419,73,6,2.1095890410958904
88,9,2,2,3,121,14.62809917355372,14.355371900826446,57,2,1.4035087719298245
89,6,2,3,2,123,14.439024390243903,14.34959349593496,70,2,1.7142857142857142
90,3,1,2,3,138,14.246376811594203,13.978260869565217,90,1,1.9666666666666666
91,6,1,2,2,155,13.509677419354839,13.63225806451613,75,1,2.1333333333333333
92,4,1,2,2,89,13.898876404494382,13.674157303370787,73,1,2.0821917808219177
93,6,1,2,2,94,13.77659574468085,13.627659574468085,56,1,1.875
94,2,2,3,3,155,13.63225806451613,13.503225806451614,81,3,1.7901234567901234
95,9,1,1,2,145,14.068965517241379,14.324137931034484,59,1,2.1694915254237288
96,1,1,1,2,64,14.203125,14.3125,44,1,1.4545454545454546
97,2,2,2,3,205,14.117073170731707,13.921951219512195,93,2,1.6451612903225807
98,0,2,2,2,186,14.43010752688172,14.661290322580646,55,2,1.1818181818181819
99,5,1,2,3,214,13.77570093457944,13.981308411214954,93,1,1.978494623655914
100,9,2,2,3,155,13.69032258064516,13.503225806451614,82,1,2.0609756097560976
101,2,1,2,3,169,13.47337278106509,14.349112426035504,83,1,1.4939759036144578
102,7,1,3,2,149,14.248322147651006,14.221476510067115,36,6,1.0689655172413792
103,7,1,2,2,89,14.269662921348315,14.146067415730338,61,1,1.5573770491803278
104,2,2,2,3,186,13.661290322580646,14.435483870967742,80,2,1.7124999999999999
105,8,3,2,3,170,14.070588235294117,14.235294117647058,59,3,1.5084745762711864
106,8,3,2,3,132,13.477272727272727,13.962121212121213,72,2,1.6666666666666667
107,5,1,2,3,152,13.80921052631579,13.782894736842104,96,1,1.84375
108,0,2,2,2,215,14.097674418604651,14.348837209302326,54,2,1.4814814814814814
109,6,2,2,3,152,13.960526315789474,14.085526315789474,58,3,1.9482758620689655
110,0,2,2,2,276,14.007246376811594,13.601449275362318,60,2,1.2166666666666666
111,0,2,2,2,135,13.65925925925926,13.940740740740742,49,2,1.653061224489796
112,2,2,2,3,134,13.82089552238806,13.276119402985074,65,2,1.6000000000000001
113,9,2,2,2,107,13.598130841121495,13.83177570093458,76,1,1.0526315789473684
114,0,2,2,3,177,14.03954802259887,14.333333333333334,62,2,1.8225806451612903
115,4,1,2,2,140,13.992857142857142,14.114285714285714,76,1,1.6710526315789473
116,7,1,2,2,150,14.46,13.386666666666667,75,1,1.2933333333333332
117,7,1,2,2,125,13.8,13.352,65,1,1.8615384615384616
118,1,1,1,1,83,14.072289156626505,13.566265060240964,45,1,0.91111111111111109
119,5,1,2,3,131,14.374045801526718,13.80916030534351,75,1,1.9199999999999999
120,7,1,2,2,119,13.655462184873949,13.428571428571429,78,1,1.5384615384615385
121,9,2,2,3,180,13.905555555555555,14.327777777777778,63,2,2.3015873015873014
122,4,1,2,2,138,14.27536231884058,14.014492753623188,74,1,2.2837837837837838
123,6,2,3,2,112,13.535714285714286,13.473214285714286,59,2,1.2203389830508475
124,1,1,1,1,117,13.957264957264957,14.444444444444445,55,1,2.6363636363636362
125,5,2,2,3,150,13.6,14.393333333333333,57,4,1.5614035087719298
126,7,1,1,2,108,14.527777777777779,14.296296296296296,50,1,2.0800000000000001
127,6,2,3,3,136,14.066176470588236,13.955882352941176,69,2,1.5072463768115942
128,5,2,3,3,151,14.072847682119205,14.04635761589404,62,2,1.5483870967741935
129,0,1,2,3,164,13.920731707317072,14.676829268292684,36,5,1.7941176470588236
130,4,1,3,2,144,14.194444444444445,13.88888888888889,84,2,2.4523809523809526
131,8,2,3,3,181,13.795580110497237,14.01657458563536,66,2,1.5757575757575757
132,7,1,2,3,179,13.69832402234637,13.631284916201118,80,1,1.8999999999999999
133,6,2,2,3,139,14.20863309352518,13.93525179856115,52,2,1.8461538461538463
134,1,1,1,2,112,14.232142857142858,13.767857142857142,48,1,2.4791666666666665
135,8,4,2,2,100,13.47,14.25,65,2,1.9692307692307693
136,7,1,2,3,112,13.991071428571429,13.705357142857142,65,2,1.3692307692307693
137,3,1,2,3,117,14.136752136752136,13.555555555555555,85,1,1.6941176470588235
138,7,1,2,2,143,14.888111888111888,14.027972027972028,36,3,1.0
139,3,1,2,3,125,13.952,13.464,53,4,2.1509433962264151
140,1,1,1,2,95,13.736842105263158,13.652631578947368,45,1,0.8666666666666667
141,0,2,2,2,237,13.759493670886076,14.49367088607595,55,2,1.4727272727272727
142,3,1,2,3,103,13.689320388349515,14.233009708737864,61,1,2.0655737704918034
143,4,1,2,3,121,13.363636363636363,14.347107438016529,67,1,2.0298507462686568
144,5,1,2,3,98,13.816326530612244,13.928571428571429,75,2,1.72
145,4,1,2,3,101,14.445544554455445,14.485148514851485,57,3,1.9298245614035088
146,0,2,2,2,161,14.453416149068323,14.416149068322982,51,2,1.7058823529411764
147,5,1,3,2,193,14.481865284974093,13.637305699481866,80,3,1.7124999999999999
148,4,1,2,2,157,13.828025477707007,14.019108280254777,66,2,2.3030303030303032
149,0,3,3,2,182,14.368131868131869,13.60989010989011,55,2,1.7818181818181817
150,3,1,2,4,120,13.858333333333333,14.083333333333334,75,1,2.0133333333333332
151,5,1,2,3,153,13.732026143790849,13.588235294117647,80,1,1.5125
152,1,1,1,1,107,14.42056074766355,13.626168224299066,47,1,2.2340425531914891
153,0,2,2,2,148,14.216216216216216,14.114864864864865,55,2,1.3090909090909091
154,8,2,2,3,129,13.348837209302326,14.224806201550388,73,2,1.7534246575342465
155,3,1,2,3,186,13.93010752688172,14.150537634408602,90,1,1.9666666666666666
156,7,1,2,2,111,14.486486486486486,14.252252252252251,62,1,1.7258064516129032
157,0,2,2,2,171,13.736842105263158,13.970760233918128,54,2,1.7777777777777777
158,9,2,2,2,93,14.376344086021506,13.763440860215054,61,2,1.4754098360655739
159,6,1,2,2,217,13.824884792626728,13.52073732718894,67,1,1.7761194029850746
160,6,2,2,3,145,14.206896551724139,14.186206896551724,52,2,1.7115384615384615
161,9,2,2,3,116,14.051724137931034,14.525862068965518,48,2,1.3333333333333333
162,5,1,1,2,142,13.929577464788732,13.950704225352112,68,1,1.1911764705882353
163,4,1,2,4,129,14.348837209302326,13.813953488372093,74,1,2.2567567567567566
164,6,2,2,2,79,13.443037974683545,14.215189873417721,46,2,2.0869565217391304
165,9,2,3,3,103,12.941747572815533,13.87378640776699,64,4,2.28125
166,3,1,2,3,111,13.9009009009009,13.35135135135135,68,1,2.3676470588235294
167,5,1,2,3,134,14.574626865671641,14.111940298507463,86,1,1.9534883720930232
168,4,1,3,2,165,13.818181818181818,14.048484848484849,88,1,1.7272727272727273
169,2,2,3,3,223,13.591928251121077,13.605381165919283,88,2,1.8295454545454546
170,4,1,2,2,189,13.402116402116402,13.798941798941799,66,1,1.9545454545454546
171,8,3,2,3,148,13.97972972972973,13.621621621621621,54,3,1.2037037037037037
172,7,1,2,2,125,13.816,13.624,67,1,1.2985074626865671
173,7,1,1,3,105,14.133333333333333,13.6,73,1,1.5068493150684932
174,5,1,2,2,154,13.967532467532468,14.272727272727273,73,1,1.8493150684931507
175,8,2,2,5,126,14.325396825396826,13.69047619047619,71,4,1.9154929577464788
176,8,3,2,3,250,14.128,14.016,69,3,1.5217391304347827
177,8,3,2,3,171,13.690058479532164,13.654970760233919,57,3,1.9473684210526316
178,2,1,2,2,136,13.580882352941176,13.882352941176471,73,1,1.3287671232876712
179,6,3,3,3,209,14.229665071770334,14.224880382775119,60,2,1.75
180,9,2,2,3,120,14.15,13.375,51,2,2.1960784313725492
181,3,1,2,4,133,13.977443609022556,14.0,97,2,2.0824742268041239
182,1,1,1,1,64,14.28125,14.3125,43,1,1.8604651162790697
183,0,2,3,2,167,13.347305389221557,14.347305389221557,55,2,0.89090909090909087
184,4,1,2,3,153,13.705882352941176,13.49673202614379,71,1,2.0422535211267605
185,1,1,1,2,107,14.261682242990654,14.280373831775702,48,1,2.4791666666666665
186,5,1,2,3,144,13.729166666666666,13.652777777777779,69,1,1.8695652173913044
187,9,2,2,3,209,13.889952153110048,14.186602870813397,64,2,1.640625
188,0,2,2,2,199,13.884422110552764,13.758793969849247,56,2,1.5714285714285714
189,6,1,2,2,165,13.618181818181819,13.854545454545455,66,1,1.803030303030303
190,2,1,2,2,100,14.21,13.8,58,2,1.9482758620689655
191,1,1,2,2,141,13.46808510638298,13.73049645390071,55,1,2.1818181818181817
192,3,1,2,3,97,14.525773195876289,13.77319587628866,60,1,2.3833333333333333
193,0,2,2,2,158,14.253164556962025,14.0,52,2,1.2307692307692308
194,6,2,2,3,155,13.845161290322581,14.503225806451614,70,4,1.8285714285714285
195,0,2,2,2,163,13.674846625766872,14.595092024539877,55,2,1.6181818181818182
196,0,2,2,2,174,14.270114942528735,14.051724137931034,52,2,1.7115384615384615
197,8,1,1,3,197,13.6751269035533,14.182741116751268,64,1,1.875
198,3,1,2,3,209,13.602870813397129,13.822966507177034,91,2,1.5054945054945055
199,2,1,2,2,162,13.487654320987655,14.518518518518519,73,1,2.3150684931506849
200,0,2,3,3,176,14.051136363636363,13.795454545454545,54,2,1.7777777777777777
201,0,2,2,3,133,13.93984962406015,14.293233082706767,50,2,1.4399999999999999
202,6,2,3,3,162,13.734567901234568,14.067901234567902,68,2,1.661764705882353
203,0,2,3,2,226,13.915929203539823,14.013274336283185,61,2,2.1147540983606556
204,0,3,3,3,181,13.734806629834255,13.314917127071823,57,2,1.6842105263157894
205,4,1,2,2,132,13.984848484848484,13.537878787878787,87,1,1.8275862068965518
206,7,1,2,2,130,13.253846153846155,14.007692307692308,67,1,2.1641791044776117
207,2,1,2,2,181,14.0939226519337,14.486187845303867,80,1,2.0125000000000002
208,7,1,2,3,128,14.3359375,13.7578125,64,1,1.890625
209,1,1,1,1,84,13.988095238095237,13.94047619047619,44,1,1.0909090909090908
210,9,2,3,3,121,14.15702479338843,14.049586776859504,58,2,1.2586206896551724
211,9,3,2,3,108,13.842592592592593,13.703703703703704,51,3,1.5686274509803921
212,3,1,2,3,122,13.573770491803279,13.918032786885245,74,1,1.7432432432432432
213,9,2,3,3,139,14.129496402877697,14.028776978417266,59,2,2.1864406779661016
214,8,3,2,3,227,14.246696035242291,14.48898678414097,61,3,1.9836065573770492
215,4,2,2,2,135,14.562962962962963,14.725925925925926,56,6,1.8928571428571428
216,6,2,2,3,104,14.23076923076923,14.548076923076923,51,2,2.3725490196078431
217,6,2,2,3,152,13.802631578947368,14.421052631578947,67,2,1.9104477611940298
