numbers,holes,horizontal_cuts,vertical_cuts,pixel_count,mass_x,mass_y,longest_contour,contours_count,straightness
1,1,1,2,66,3682.7727272727275,3379.439393939394,43,1,2.0465116279069768
0,2,2,2,178,3902.9438202247193,3608.88202247191,54,2,1.9444444444444444
1,1,1,2,59,4218.440677966101,2670.084745762712,42,1,0.76190476190476186
4,1,2,2,65,4321.246153846154,4046.8307692307694,35,3,2.0285714285714285
0,2,2,2,212,3892.7264150943397,3948.995283018868,56,2,1.3035714285714286
0,2,2,2,99,3777.656565656566,3013.8585858585857,88,1,1.375
7,1,2,2,77,3674.2597402597403,2898.8571428571427,60,2,1.5666666666666667
3,1,3,4,109,4856.972477064221,3821.1009174311926,55,12,1.7454545454545454
5,1,2,3,124,3872.3951612903224,3730.3064516129034,83,1,1.8433734939759037
3,1,2,3,137,3840.810218978102,3491.204379562044,81,1,2.0123456790123457
8,4,2,3,178,4607.853932584269,3487.7977528089887,57,3,1.5614035087719298
9,2,3,4,112,4231.366071428572,3020.0803571428573,60,4,2.1666666666666665
1,1,1,2,53,3869.301886792453,2618.132075471698,23,2,1.5652173913043479
3,1,2,4,151,4151.470198675496,3324.0529801324506,84,2,1.9047619047619047
3,1,2,3,147,4023.7687074829932,3623.0272108843537,102,1,1.7549019607843137
1,1,1,1,38,4542.210526315789,3016.657894736842,23,2,2.347826086956522
2,1,2,2,168,4517.041666666667,3097.9821428571427,71,2,2.1549295774647885
0,2,2,2,142,4364.859154929577,3813.8521126760565,50,2,1.6000000000000001
7,1,2,2,58,4416.775862068966,2971.1724137931033,38,2,2.5263157894736841
5,2,2,3,185,3857.1243243243243,3923.135135135135,79,2,1.9367088607594938
8,3,2,3,110,4209.718181818182,3282.072727272727,74,4,1.7972972972972974
6,2,3,3,116,3615.0172413793102,3762.060344827586,77,3,2.8333333333333335
2,1,2,3,120,4561.275,2946.8416666666667,78,1,2.2692307692307692
0,2,3,3,191,3715.910994764398,4195.497382198952,55,3,1.8909090909090909
2,1,2,3,117,4315.2991452991455,3185.91452991453,80,1,1.9125000000000001
3,1,1,4,117,4286.675213675214,3700.74358974359,69,2,1.9420289855072463
6,1,2,2,113,3563.6548672566373,3206.1061946902655,56,1,1.9821428571428572
9,2,2,3,96,3787.8958333333335,2972.1979166666665,60,2,2.2166666666666668
9,2,2,3,119,3788.9663865546217,3249.672268907563,48,4,2.5
7,1,2,2,121,4251.94214876033,3491.619834710744,71,1,1.9014084507042253
8,3,2,2,111,4070.135135135135,3749.252252252252,77,2,1.974025974025974
9,2,3,2,86,4192.186046511628,3398.3023255813955,77,1,1.4545454545454546
4,1,2,3,117,3319.5128205128203,3961.102564102564,80,1,2.6124999999999998
9,1,2,3,113,3829.8053097345132,3384.1592920353983,54,2,2.4814814814814814
2,2,2,3,116,3780.0862068965516,3876.5258620689656,65,2,2.2000000000000002
1,1,1,2,46,4431.45652173913,2734.5652173913045,38,1,1.4736842105263157
3,1,2,3,96,4661.604166666667,2891.3854166666665,44,4,1.5
